Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Give Life Back to Music,4:34,Daft Punk,Random Access Memories,Pop,0,1,17/05/2013,2013,4,"24/05/2024, 8:58 AM","01/09/2022, 9:19 PM"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4:12,Pitbull,Planet Pit (Deluxe Version),Pop,0,1,18/03/2011,2011,5,"12/02/2024, 7:03 AM","16/05/2023, 11:57 AM"
Gnat,3:45,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,18/12/2020,2020,,,"22/06/2024, 7:08 AM"
Go All the Way,3:22,Raspberries,Raspberries,Rock,0,,10/04/1972,1972,4,,"05/05/2023, 5:08 PM"
Goat Dekho,3:34,Raftaar,Goat Dekho - Single,Indian Pop,2,2,30/11/2021,2021,4,"04/09/2024, 8:35 AM","22/09/2023, 8:28 AM"
God Damn,2:47,"Badshah, Karan Aujla & Hiten",Ek Tha Raja,Pop,2,5,18/03/2024,2024,1,"30/09/2024, 8:14 PM","08/09/2024, 10:48 PM"
God Gave Me You,3:50,Blake Shelton,Red River Blue (Deluxe Version),Country,1,2,12/07/2011,2011,7,"04/03/2021, 8:21 PM","28/10/2020, 12:57 AM"
God Whispered Your Name,3:52,Keith Urban,THE SPEED OF NOW Part 1,Country,1,4,27/02/2020,2020,9,"11/05/2023, 4:10 AM","20/12/2020, 11:57 AM"
Godzilla (feat. Juice WRLD),3:31,Eminem,Music To Be Murdered By,Hip-Hop/Rap,1,10,17/01/2020,2020,9,"08/06/2024, 5:24 PM","05/08/2020, 11:22 PM"
Godzilla (feat. Juice WRLD),3:31,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,17/01/2020,2020,1,,"22/06/2024, 7:08 AM"
Going Through Changes,4:59,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,3,18/06/2010,2010,17,"07/01/2024, 6:25 PM","06/08/2020, 12:21 AM"
"Gone, Gone, Gone",3:30,Phillip Phillips,The World from the Side of the Moon,Pop,2,2,19/11/2012,2012,2,"01/01/2024, 9:11 AM","28/07/2023, 10:00 PM"
Good as You,3:13,Kane Brown,Experiment Extended,Country,1,14,19/10/2018,2018,7,"14/07/2024, 7:58 AM","06/08/2020, 12:01 AM"
Good Feeling,4:08,Flo Rida,Wild Ones,Hip-Hop/Rap,1,2,29/08/2011,2011,8,"22/07/2024, 8:50 AM","05/08/2020, 11:23 PM"
Good Guy (feat. Jessie Reyez),2:22,Eminem,Kamikaze,Hip-Hop/Rap,1,13,31/08/2018,2018,15,"16/07/2023, 2:18 PM","06/08/2020, 12:22 AM"
Good Life,3:46,G-Eazy & Kehlani,Fast & Furious 8: The Album,Hip-Hop/Rap,1,11,17/03/2017,2017,14,"22/05/2024, 8:46 AM","06/08/2020, 12:11 AM"
Good Riddance (Time of Your Life),2:35,Green Day,Nimrod,Alternative,1,3,14/10/1997,1997,8,"21/09/2024, 8:12 PM","06/08/2020, 8:57 PM"
Goodbye My Lover,4:18,James Blunt,Back To Bedlam (Deluxe Version),Pop,1,1,11/10/2004,2004,10,"27/12/2023, 12:06 PM","06/08/2020, 9:44 PM"
Goodbyes (feat. Young Thug),2:55,Post Malone,Goodbyes (feat. Young Thug) - Single,Hip-Hop/Rap,2,4,05/07/2019,2019,8,"09/06/2024, 9:05 AM","11/11/2023, 6:46 AM"
Goodbyes (feat. Young Thug),2:55,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,12,05/07/2019,2019,17,"03/06/2024, 7:33 AM","28/10/2020, 12:59 AM"
Got It In You (Acoustic),3:43,BANNERS,Always Yours - EP,Alternative,0,5,28/02/2019,2019,9,"12/07/2023, 8:39 AM","03/08/2021, 12:49 AM"
Greatest,3:47,Eminem,Kamikaze,Hip-Hop/Rap,1,7,31/08/2018,2018,3,"13/06/2024, 12:33 PM","06/08/2020, 12:22 AM"
Greenlight (feat. Flo Rida & LunchMoney Lewis),4:05,Pitbull,Climate Change,Pop,1,12,22/07/2016,2016,9,"19/06/2024, 10:50 AM","05/08/2020, 11:25 PM"
Grenade,3:42,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version),Pop,1,5,28/09/2010,2010,10,"17/06/2024, 12:24 PM","06/08/2020, 10:03 PM"
Gulabi Sadi,3:43,Sanju Rathod & G-Spark,Gulabi Sadi - Single,Regional Indian,0,3,06/02/2024,2024,1,"13/04/2024, 9:21 AM","11/04/2024, 2:50 PM"
Gunehgar,2:43,DIVINE,Gunehgar,Rap,0,21,10/11/2022,2022,7,"18/09/2024, 10:39 AM","12/12/2022, 2:13 PM"
Guy For That (feat. Luke Combs),2:44,Post Malone,F-1 Trillion,Country,0,,26/07/2024,2024,1,,"21/08/2024, 10:52 AM"
H.O.L.Y.,3:15,Florida Georgia Line,Dig Your Roots,Country,1,19,29/04/2016,2016,11,"15/07/2023, 7:58 AM","05/08/2020, 11:05 PM"
Haan Main Galat,3:39,"Pritam, Arijit Singh & Shashwat Singh",Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,12,29/01/2020,2020,9,"12/10/2023, 5:37 AM","07/08/2020, 12:47 AM"
Haaye Oye (feat. Ash King),3:20,QARAN,Haaye Oye (feat. Ash King) - Single,Indian Pop,1,9,22/03/2019,2019,11,"29/09/2024, 9:51 PM","07/08/2020, 10:19 AM"
Hailie's Song,5:21,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,1,,"22/06/2024, 7:07 AM"
Hairat,4:07,Lucky Ali,Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,0,2,19/08/2010,2010,3,"21/03/2024, 8:04 PM","13/04/2022, 12:28 AM"
Hangover (feat. Snoop Dogg),3:57,PSY,Hangover (feat. Snoop Dogg) - Single,Pop,0,,09/06/2014,2014,,,"04/09/2024, 7:13 PM"
Happier,3:28,Ed Sheeran,÷ (Deluxe),Pop,1,5,03/03/2017,2017,14,"02/08/2024, 9:32 AM","06/08/2020, 9:43 PM"
Happier,3:34,Marshmello & Bastille,Happier - Single,Dance,1,10,16/08/2018,2018,6,"02/08/2024, 8:54 AM","06/08/2020, 9:35 PM"
"Happy (From ""Despicable Me 2"")",3:53,Pharrell Williams,G I R L (Japan Version),Pop,1,4,21/11/2013,2014,9,"22/09/2024, 7:16 AM","07/08/2020, 12:55 AM"
Har Har Shambhu Shiv Mahadeva (feat. Abhilipsa Panda),5:55,Jeetu Sharma,Har Har Shambhu Shiv Mahadeva (feat. Abhilipsa Panda) - Single,Devotional & Spiritual,0,3,02/05/2022,2022,13,"07/07/2023, 6:11 AM","27/09/2022, 7:38 PM"
Harleys in Hawaii,3:06,Katy Perry,Harleys in Hawaii - Single,Pop,0,10,16/10/2019,2019,9,"02/08/2024, 9:02 AM","24/10/2021, 10:09 AM"
Hawa Banke,2:52,Darshan Raval,Hawa Banke - Single,Indian,1,9,18/07/2019,2019,5,"03/10/2024, 8:03 AM","18/12/2020, 2:09 AM"
Hawayein,4:50,Pritam & Arijit Singh,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Bollywood,0,1,26/07/2017,2017,5,"05/07/2024, 12:59 PM","11/10/2022, 2:18 AM"
He Ram He Ram,4:13,Jagjit Singh,Hey Govind Hey Gopal,Devotional & Spiritual,0,3,08/01/1984,1984,9,"03/04/2024, 5:38 AM","16/11/2022, 2:13 PM"
Headlights (Instrumental),5:51,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,,05/11/2013,2013,,,"22/06/2024, 7:08 AM"
Heart Attack,2:50,Enrique Iglesias,S** AND LOVE,Latin,1,5,24/09/2013,2013,6,"27/05/2024, 7:42 PM","06/08/2020, 12:27 AM"
Heart on the Run (feat. Vincent Vega),4:05,Park Lane,Aim High - Single,R&B/Soul,1,2,14/12/2018,2018,1,"04/08/2024, 8:19 PM","03/03/2023, 7:49 PM"
Heart To Heart,3:29,James Blunt,Moon Landing,Pop,1,5,18/10/2013,2013,9,"25/01/2023, 11:55 AM","18/10/2020, 2:22 PM"
Heartless,3:18,The Weeknd,After Hours,R&B/Soul,1,17,27/11/2019,2019,7,"17/01/2024, 6:46 PM","06/08/2020, 12:18 AM"
Heathens,3:16,twenty one pilots,Pop,Alternative,1,1,16/06/2016,2016,11,"12/11/2020, 11:56 AM","08/08/2020, 10:40 AM"
Heaven,4:37,Avicii,TIM,Dance,1,5,06/06/2019,2019,6,"20/10/2023, 4:35 PM","07/08/2020, 1:06 AM"
Heaven,2:57,Kane Brown,Kane Brown (Deluxe Edition),Country,2,4,02/12/2016,2017,12,"11/10/2023, 9:55 AM","06/08/2020, 12:02 AM"
Heavydirtysoul,3:55,twenty one pilots,Blurryface,Alternative,1,4,17/05/2015,2015,11,"05/12/2022, 10:58 AM","08/08/2020, 9:41 AM"
Hello Friday (feat. Jason Derulo),3:21,Flo Rida,Hello Friday (feat. Jason Derulo) - Single,Hip-Hop/Rap,1,2,26/02/2016,2016,4,"18/09/2023, 6:53 AM","08/09/2023, 7:35 AM"
Help Me Help You (feat. Why Don't We),2:33,Logan Paul,Help Me Help You (feat. Why Don't We) - Single,Pop,0,6,18/05/2017,2017,2,"27/09/2024, 8:26 AM","10/10/2022, 4:52 PM"
Help Me Out,3:14,Maroon 5 & Julia Michaels,Red Pill Blues (Deluxe),Pop,1,3,06/10/2017,2017,8,"06/02/2024, 12:54 PM","12/10/2020, 1:02 AM"
Here With Me (feat. CHVRCHES),2:36,Marshmello,Here With Me (feat. CHVRCHES) - Single,Dance,1,12,01/01/2019,2019,9,"01/08/2024, 7:51 AM","06/08/2020, 9:35 PM"
Hero,4:24,Enrique Iglesias,Greatest Hits,Pop,1,4,03/09/2001,2001,6,"14/08/2022, 1:47 PM","05/08/2020, 11:27 PM"
Heroes (we could be) [feat. Tove Lo],3:32,Alesso,Forever,Dance,0,4,21/08/2014,2014,3,"22/09/2024, 7:12 AM","27/04/2021, 9:38 AM"
Hey Ma (feat. Camila Cabello) [Spanish Version],3:15,Pitbull & J Balvin,Fast & Furious 8: The Album,Latin,1,6,10/03/2017,2017,8,"12/02/2024, 7:40 AM","06/08/2020, 12:26 AM"
High,3:17,Whethan & Dua Lipa,Fifty Shades Freed (Original Motion Picture Soundtrack),Soundtrack,1,6,09/02/2018,2018,7,"29/03/2024, 1:34 PM","07/08/2020, 1:08 AM"
High End,2:57,Diljit Dosanjh,Con.Fi.Den.Tial,Indian Pop,0,,21/02/2018,2018,2,,"31/01/2024, 10:52 AM"
High Rated Gabru,3:34,Guru Randhawa & Manj Musik,High Rated Gabru - Single,Indian Pop,1,7,04/07/2017,2017,8,"21/07/2024, 7:14 AM","07/08/2020, 12:45 AM"
Highway to Hell,3:28,AC/DC,Highway to Hell,Hard Rock,0,2,27/07/1979,1979,16,"31/07/2023, 7:20 AM","18/10/2020, 2:31 PM"
Him & I,4:29,G-Eazy & Halsey,The Beautiful & Damned,Hip-Hop/Rap,1,13,30/11/2017,2017,7,"11/09/2024, 11:07 AM","07/08/2020, 11:00 AM"
History,3:07,One Direction,Made In The A.M.,Pop,1,1,13/11/2015,2015,8,"06/12/2021, 12:22 PM","06/08/2020, 8:49 PM"
Hit 'Em Up (feat. Outlawz),5:13,2Pac,Greatest Hits,Hip-Hop/Rap,0,,24/11/1998,1998,3,,"27/05/2024, 2:39 PM"
Hit Em Up (feat. Outlawz),5:16,2Pac,Death Row Greatest Hits,Hip-Hop/Rap,0,,04/06/1996,1996,1,,"29/09/2024, 9:54 AM"
Hola (feat. Maluma),3:12,Flo Rida,Hola (feat. Maluma) - Single,Hip-Hop/Rap,1,5,17/11/2017,2017,6,"13/10/2023, 3:33 PM","07/08/2020, 12:32 AM"
Hold My Hand,3:45,Lady Gaga,Top Gun: Maverick (Music from the Motion Picture),Pop,0,4,03/05/2022,2022,7,"13/08/2024, 4:50 PM","22/08/2022, 1:41 PM"
Hold My Hand (Duet with Akon),3:32,Michael Jackson,Michael,Pop,1,5,15/11/2010,2010,10,"14/07/2024, 6:51 AM","13/10/2020, 3:59 PM"
Holiday,3:53,Green Day,American Idiot,Alternative,1,5,21/09/2004,2004,6,"28/07/2024, 8:28 PM","06/08/2020, 8:57 PM"
Hollywood's Bleeding,2:36,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,20,06/09/2019,2019,7,"28/06/2024, 8:38 AM","05/08/2020, 11:14 PM"
Holocene,5:37,Bon Iver,Bon Iver (10th Anniversary Edition),Alternative,0,,17/06/2011,2011,2,,"12/02/2024, 5:06 PM"
Holy (feat. Chance the Rapper),3:32,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version),Pop,0,1,18/09/2020,2020,2,"23/08/2023, 6:12 AM","25/05/2022, 12:05 PM"
Home,3:23,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Bright: The Album,Pop,1,10,16/11/2017,2017,6,"19/08/2024, 8:49 AM","07/09/2020, 5:51 PM"
Home,3:30,Phillip Phillips,The World from the Side of the Moon,Pop,0,1,23/05/2012,2012,3,"27/12/2023, 12:40 PM","28/07/2023, 10:00 PM"
Home Again,3:30,Michael Kiwanuka,Home Again,R&B/Soul,0,4,01/01/2012,2012,10,"10/11/2023, 5:29 PM","09/11/2021, 10:33 PM"
Homesick,3:25,Kane Brown,Experiment Extended,Country,1,7,07/09/2018,2018,6,"23/06/2024, 11:34 AM","06/08/2020, 12:01 AM"
Homicide (feat. Eminem),4:05,Logic,Confessions of a Dangerous Mind,Hip-Hop/Rap,1,7,03/05/2019,2019,13,"08/06/2024, 8:18 AM","05/08/2020, 11:12 PM"
Hooked on a Feeling,2:53,Blue Swede & Björn Skifs,Hooked On a Feeling - 40th Anniversary Collection,Rock,2,8,01/01/1973,1973,5,"28/09/2024, 8:13 AM","05/05/2023, 6:07 PM"
Hoor,3:57,Sachin-Jigar & Atif Aslam,Hindi Medium (Original Motion Picture Soundtrack),Bollywood,1,10,19/04/2017,2017,24,"13/07/2024, 8:06 AM","06/08/2020, 9:06 PM"
Hornn Blow,2:26,Harrdy Sandhu & B. Praak,Hornn Blow - Single,Indian Pop,1,16,12/04/2016,2016,11,"11/05/2024, 9:29 AM","08/08/2020, 1:04 AM"
Houdini,3:47,Eminem,Houdini - Single,Hip-Hop/Rap,0,1,31/05/2024,2024,2,"13/06/2024, 11:37 AM","01/06/2024, 5:09 PM"
How To Love,4:00,Lil Wayne,Tha Carter IV (Complete Edition),Hip-Hop/Rap,0,2,26/05/2011,2011,15,"26/09/2023, 5:31 AM","29/05/2022, 2:10 AM"
How Would You Feel (Paean),4:41,Ed Sheeran,÷ (Deluxe),Pop,2,3,03/03/2017,2017,5,"01/10/2024, 7:51 AM","06/08/2020, 9:43 PM"
How You Like Me Now,3:37,The Heavy,How You Like Me Now - EP,Rock,0,1,01/08/2009,2009,4,"03/10/2024, 8:42 AM","26/03/2023, 7:51 PM"
"Hukum - Thalaivar Alappara (From ""Jailer"")",3:28,Anirudh Ravichander & Super Subu,"Hukum - Thalaivar Alappara (From ""Jailer"") - Single",Tamil,0,9,17/07/2023,2023,1,"18/09/2024, 7:11 AM","12/04/2024, 10:04 AM"
Hum Dum,5:05,Ankit Tiwari,Shiddat (Original Motion Picture Soundtrack),Bollywood,0,2,23/09/2021,2021,9,"20/11/2021, 11:21 AM","26/10/2021, 9:51 PM"
Human,3:20,Rag'n'Bone Man,Human (Deluxe),Alternative,1,11,21/07/2016,2016,9,"12/07/2023, 7:26 AM","01/10/2020, 2:29 PM"
HUMBLE.,2:57,Kendrick Lamar,DAMN.,Hip-Hop/Rap,0,21,30/03/2017,2017,12,"08/10/2024, 7:51 AM","12/04/2022, 12:39 PM"
Humraah,5:00,Sachet Tandon,Malang - Unleash the Madness (Original Motion Picture Soundtrack),Bollywood,0,5,23/01/2020,2020,14,"11/09/2024, 8:34 AM","10/10/2021, 11:30 AM"
Humsafar,4:28,Akhil Sachdeva & Mansheel Gujral,Badrinath Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,0,6,21/02/2017,2017,8,"04/07/2024, 6:45 AM","07/08/2020, 9:15 AM"
Hustler,3:15,Zayde Wølf,Golden Age,Rock,0,11,04/11/2016,2016,6,"24/01/2024, 7:35 PM","14/08/2021, 1:22 AM"
Hustlin',4:14,Rick Ross,Port of Miami,Hip-Hop/Rap,1,8,11/03/2006,2006,9,"16/02/2024, 6:17 PM","18/10/2020, 2:29 PM"
Hymn for the Weekend,4:19,Coldplay,A Head Full of Dreams,Alternative,1,14,04/12/2015,2015,9,"19/09/2024, 12:05 PM","06/08/2020, 9:01 PM"
Hypnotize,3:50,The Notorious B.I.G.,Life After Death (2014 Remaster),Hip-Hop/Rap,0,2,01/03/1997,1997,3,"08/09/2024, 8:01 AM","12/04/2022, 11:43 AM"
I Ain't Worried,2:28,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),Pop,0,13,13/05/2022,2022,6,"27/12/2023, 6:28 AM","09/06/2022, 5:45 PM"
I Ain’t Worried (Acoustic),2:29,OneRepublic,"I Ain’t Worried (Acoustic) [Music From The Motion Picture ""Top Gun: Maverick""] - Single",Pop,0,6,05/08/2022,2022,8,"29/09/2024, 8:22 AM","15/08/2022, 4:27 PM"
I Believe That We Will Win (World Anthem),2:27,Pitbull,I Believe That We Will Win (World Anthem) - Single,Pop,1,18,13/04/2020,2020,11,"19/06/2024, 10:56 AM","07/08/2020, 12:49 AM"
I Bet My Life,3:14,Imagine Dragons,Smoke + Mirrors (Deluxe),Alternative,1,4,27/10/2014,2014,9,"28/09/2024, 8:22 AM","06/08/2020, 12:31 AM"
I Don't Care,3:40,Ed Sheeran & Justin Bieber,No.6 Collaborations Project,Pop,1,10,10/05/2019,2019,3,"04/08/2024, 8:50 PM","06/08/2020, 9:42 PM"
I Don’t Wanna Live Forever (Fifty Shades Darker),4:06,ZAYN & Taylor Swift,Fifty Shades Darker (Original Motion Picture Soundtrack),Soundtrack,1,14,09/12/2016,2016,5,"17/05/2024, 8:08 AM","06/08/2020, 8:48 PM"
I Don't Wanna Wait,2:30,David Guetta & OneRepublic,I Don't Wanna Wait - Single,Dance,0,2,05/04/2024,2024,,"06/10/2024, 8:05 AM","18/07/2024, 11:03 PM"
I Fall Apart,3:43,Post Malone,The Diamond Collection (Deluxe),Hip-Hop/Rap,0,4,09/12/2016,2016,2,"15/09/2024, 6:33 AM","11/11/2023, 6:46 AM"
I Feel Good,5:18,Vishal Dadlani & Shilpa Rao,Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,1,4,19/08/2010,2010,9,"29/08/2024, 2:50 PM","11/08/2020, 9:09 PM"
I Feel It Coming (feat. Daft Punk),4:29,The Weeknd,Starboy,R&B/Soul,1,5,24/11/2016,2016,8,"05/07/2023, 2:23 PM","06/08/2020, 12:18 AM"
I Gotta Feeling,4:49,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),Pop,0,1,03/06/2009,2009,,"28/01/2024, 9:18 AM","30/09/2023, 8:24 AM"
I Guess,3:06,KR$NA,I Guess - Single,Hip-Hop/Rap,1,16,26/10/2022,2022,2,"08/09/2024, 7:49 AM","23/01/2023, 9:04 PM"
I Had Some Help (feat. Morgan Wallen),2:58,Post Malone,I Had Some Help (feat. Morgan Wallen) - Single,Country,1,8,10/05/2024,2024,6,"18/09/2024, 10:50 AM","27/05/2024, 5:20 PM"
I Just Can't Lose Your Love,3:41,The Whatnauts,Message From a Black Man,R&B/Soul,0,,01/01/1970,1970,4,,"12/02/2024, 5:37 PM"
I Let Your Smile Fade Away,3:53,Loving Caliber,Echoes,Pop,2,10,28/08/2017,2017,6,"13/11/2023, 5:42 AM","19/07/2021, 7:32 PM"
I Like How It Feels (feat. Pitbull & The WAV.s),3:40,Enrique Iglesias,S** AND LOVE,Latin,1,1,10/09/2011,2011,3,"13/12/2022, 10:07 PM","06/08/2020, 12:27 AM"
I Love Rock 'N Roll,2:55,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Expanded Edition),Rock,0,2,18/11/1981,1981,8,"15/09/2023, 2:27 PM","14/08/2022, 3:03 AM"
"I Made It (Cash Money Heroes) [feat. Birdman, Jay Sean & Lil Wayne]",4:10,Kevin Rudolf,To the Sky,Pop,1,8,02/02/2010,2010,8,"05/04/2024, 12:33 PM","14/09/2020, 3:22 PM"
I Mean It (feat. Remo),3:56,G-Eazy,These Things Happen,Hip-Hop/Rap,0,5,13/05/2014,2014,2,"07/08/2024, 11:31 AM","10/01/2024, 7:27 AM"
I Need a Doctor (feat. Eminem & Skylar Grey),4:44,Dr. Dre,I Need a Doctor (feat. Eminem & Skylar Grey) - Single,Hip-Hop/Rap,1,4,01/02/2011,2011,11,"07/08/2024, 5:38 PM","10/09/2020, 10:57 AM"
I Put a Spell On You,3:31,Annie Lennox,Fifty Shades of Grey (Original Motion Picture Soundtrack),Soundtrack,0,2,15/09/2014,2014,5,"20/04/2024, 10:08 AM","17/05/2021, 3:38 PM"
I Took a Pill In Ibiza (Seeb Remix),3:19,Mike Posner,Shut Up Lets Dance,Dance,0,1,28/06/2015,2015,2,"07/06/2024, 5:20 PM","07/06/2024, 5:14 PM"
I Want It That Way,3:33,Backstreet Boys,Millennium,Pop,0,,12/04/1999,1999,,,"12/02/2024, 5:06 PM"
I Want To Break Free,3:21,Queen,The Works,Rock,0,,27/02/1984,1984,6,,"03/03/2023, 7:49 PM"
I Want You Back,3:01,Jackson 5,Diana Ross Presents The Jackson 5,Pop,0,,07/10/1969,1969,5,,"03/03/2023, 8:49 PM"
I Want You Back,2:59,Jackson 5,The Very Best of Michael Jackson with The Jackson 5,Pop,0,2,07/10/1969,1969,5,"04/08/2024, 7:43 PM","05/05/2023, 5:07 PM"
I Won't Let You Down,3:18,Erin McCarley,I Won't Let You Down - Single,Singer/Songwriter,0,5,06/11/2017,2017,9,"03/04/2023, 6:40 AM","31/07/2021, 8:41 PM"
I'll Be There,2:49,Walk Off the Earth,HERE WE GO!,Pop,0,1,23/08/2019,2019,10,"06/04/2022, 2:24 PM","03/03/2021, 4:03 PM"
I'll Be Your Man,3:37,James Blunt,Some Kind of Trouble (Deluxe Edition),Pop,1,6,08/11/2010,2010,5,"07/01/2024, 5:31 PM","06/08/2020, 9:44 PM"
I'll Never Love Again (Extended Version),5:28,Lady Gaga,A Star Is Born Soundtrack,Soundtrack,1,5,05/10/2018,2018,9,"28/06/2024, 6:54 AM","07/08/2020, 1:01 AM"
I'll Never Love Again (Film Version),4:41,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,Soundtrack,0,1,05/10/2018,2018,5,"15/05/2023, 7:47 AM","22/08/2022, 12:42 PM"
I'm Comin' Home,3:17,Aloe Blacc & AG,I'm Comin' Home - Single,Blues,0,3,01/07/2019,2019,10,"20/01/2024, 8:56 AM","13/08/2021, 9:58 PM"
I'm Gonna Be,3:21,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,8,06/09/2019,2019,9,"04/05/2024, 10:18 AM","28/10/2020, 12:59 AM"
I'm Ready To Rock That (feat. NRZD),2:24,Bonti,I'm Ready To Rock That (feat. NRZD) - Single,Electronic,0,10,07/10/2020,2020,9,"27/06/2024, 9:50 AM","23/10/2021, 4:24 PM"
I’m so Glad (To Be Here with You),3:08,Big Girl,The High Road,Americana,0,,21/04/2023,2023,,,"01/08/2023, 9:21 AM"
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",4:49,DJ Khaled,Grateful,Hip-Hop/Rap,1,2,28/04/2017,2017,4,"27/02/2024, 7:30 AM","22/08/2022, 12:29 PM"
I'm Yours,4:03,Jason Mraz,We Sing. We Dance. We Steal Things,Pop,1,2,12/02/2008,2008,4,"23/12/2023, 3:39 PM","13/10/2020, 4:02 PM"
If Ever There's A Reason,3:59,Derby,Madeline,Rock,0,,28/11/2007,2007,1,,"03/03/2023, 7:49 PM"
If Ever There's a Reason,3:59,Derby,Posters Fade,Rock,0,4,28/11/2007,2007,9,"27/12/2023, 8:17 AM","31/07/2021, 9:17 PM"
Ik Junoon (Paint It Red),4:59,Vishal Dadlani,Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,1,4,03/06/2011,2011,11,"24/07/2022, 8:41 PM","07/08/2020, 9:55 AM"
Ik Kahani,3:26,Gajendra Verma,Ik Kahani - Single,Indian Pop,1,8,22/11/2017,2017,12,"12/03/2023, 2:46 PM","07/08/2020, 11:43 AM"
Ik Vaari Aa,4:35,Pritam & Arijit Singh,Raabta (Original Motion Picture Soundtrack),Bollywood,0,2,21/04/2017,2017,17,"12/07/2023, 8:16 AM","10/10/2021, 10:30 AM"
Ikk Kudi - Reprised Version,4:07,Diljit Dosanjh,Udta Punjab (Original Motion Picture Soundtrack),Bollywood,1,9,18/05/2016,2016,11,"04/08/2024, 7:29 PM","06/08/2020, 9:04 PM"
Iktarfa,4:24,Palash Sen & Euphoria,Iktarfa - Single,Indian Pop,0,4,30/08/2018,2018,3,"17/06/2024, 11:02 AM","29/04/2022, 6:42 PM"
Ilahi,3:49,Pritam & Arijit Singh,Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,2,21,30/03/2013,2013,5,"27/09/2024, 8:15 AM","07/08/2020, 10:21 AM"
Illegal Weapon (feat. Jasmine Sandlas),3:50,Garry Sandhu,Illegal Weapon (feat. Jasmine Sandlas) - Single,Punjabi Pop,1,1,25/09/2017,2017,14,"14/07/2024, 6:35 AM","08/08/2020, 1:04 AM"
Impossible,3:29,James Arthur,James Arthur (Deluxe),Pop,1,5,09/12/2012,2012,9,"30/07/2023, 9:34 AM","06/08/2020, 9:44 PM"
In da Club,3:13,50 Cent,Get Rich or Die Tryin' (Bonus Track Version),Hip-Hop/Rap,0,,07/01/2003,2003,2,,"27/05/2024, 2:39 PM"
"In My Foreign (feat. Ty Dolla $ign, Lil Yachty, Nicky Jam & French Montana)",3:38,The Americanos,"In My Foreign (feat. Ty Dolla $ign, Lil Yachty, Nicky Jam & French Montana) - Single",Hip-Hop/Rap,0,2,18/11/2016,2016,1,"11/06/2024, 8:43 AM","12/05/2024, 11:29 AM"
In My Head,4:57,Ricardo Ignacio,Without Regret,Hip-Hop/Rap,1,1,17/03/2020,2020,7,"18/09/2023, 6:13 PM","06/12/2020, 3:59 AM"
Insane,3:26,"AP Dhillon, Shinda Kahlon, Gurinder Gill & Gminxr",Insane - Single,Pop,1,21,15/04/2021,2021,12,"29/04/2024, 9:36 AM","21/11/2021, 10:08 AM"
Instagram Love,3:07,Raftaar,Instagram Love - Single,Indian Pop,0,1,22/12/2020,2020,1,"03/10/2020, 11:10 AM","31/08/2020, 10:30 AM"
Intentions (feat. Quavo),3:33,Justin Bieber,Changes,Pop,1,8,07/02/2020,2020,10,"27/08/2023, 1:39 PM","06/08/2020, 8:37 PM"
International Love (feat. Chris Brown),3:47,Pitbull,Planet Pit (Deluxe Version),Pop,0,14,17/06/2011,2011,4,"03/09/2024, 9:46 AM","16/05/2023, 11:58 AM"
Intezaar,3:56,Lucky Ali,Intezaar - Single,Indian Pop,0,1,06/04/2022,2022,9,"21/06/2022, 6:33 PM","13/04/2022, 12:28 AM"
Into Your Arms,3:59,The Maine,Can't Stop Won't Stop,Alternative,1,5,01/01/2008,2008,8,"29/08/2022, 11:27 AM","13/08/2020, 6:16 PM"
Ishq Wala Love,4:18,"Vishal & Shekhar, Neeti Mohan, Salim Merchant & Shekhar Ravjiani",Student of the Year (Original Motion Picture Soundtrack),Bollywood,1,5,31/08/2012,2012,11,"19/05/2022, 8:40 PM","11/08/2020, 9:12 PM"
